"Internal ProfileID","3fafa527-3ef2-4d05-be39-309dfff51f4f"
"Location","CA"
"Device Name","UPS2  BB2"
"Device ID","1"
"Battery Series","1"
"Battery Type",""
"Battery Number","190"
"Battery Start ID","1"
"Capacity","1000 Ah"
"Time Created","2026-01-09 15:10:24"
"Time Modified","2026-01-09 15:22:04"
"Custom Value 1",""
"Custom Value 2",""
"Custom Value 3",""
"Custom Value 4",""
"Custom Value 5",""
"Table1","mΩ-Volt (Temperature)"
"--------------------"
"ID","Resistance(mΩ)","VDC","Temperature(℃)","Time"
"ID","VAC","HZ","Time"
"Table4","RIPPLE"
"--------------------"
"ID","mVAC","VDC","Time"
"Table5","AUX"
"--------------------"
"ID","AAC/ADC","HZ/DC","Time"
"Table6","DISCHARGE VOLTS"
"--------------------"
"ID",
"Table7","Strap"
"--------------------"
"ID","Resistance(mΩ)","Time"
"--------------------"
"Below is for import data back Battery Manager, Please DO NOT remove or modify!"
"<-------------------->"
00IfUAATY1MDAyNTAwNTAxNTMzMjM1MzkzODM3MyAwMS8wOS8yNiAxNTowOCBjcmVh84
01dGVkIGludGVybmFsbHkAAAAAAABgGmFpHB1haUNBAGFtZWQgc2l0ZQBOAABVUFMyB0
02ICBCQjIAQQAAAAAAAFJMQQBBTUFSQVJBSkEAAAEBvgABABQUFBToA74AAQAAAAAAAC
03Gh8AAAAAvgAQAwAAeBphaSMAAgHGCAMCAAAAAHkaYWkkAAIBxggDAgAAAAB6GmFpE8
04JAACAcYIAwIAAAAAehphaSQAAgHGCAMCAAAAAHwaYWklAAIBxggDAgAAAAB9GmFpED
05JQACAcYIAwIAAAAAfRphaSUAAgHGCAMCAAAAAIMaYWlZAAIBtwgDAgAAAACSGmFpA6
06FQACAcUIAwIAAAAAkxphaRUAAgHFCAMCAAAAAJQaYWkWAAIBxQgDAgAAAACUGmFpD3
07FgACAcUIAwIAAAAAlRphaRYAAgHFCAMCAAAAAJcaYWkWAAIBxQgDAgAAAACYGmFpC7
08FgACAcUIAwIAAAAAoxphaRwAAgG1CAMCAAAAAKMaYWkcAAIBtQgDAgAAAACmGmFpB2
09GwACAbUIAwIAAAAApxphaRsAAgG1CAMCAAAAAKgaYWkbAAIBtQgDAgAAAACpGmFpB2
0AGwACAbUIAwIAAAAAqRphaRsAAgG1CAMCAAAAAK4aYWkgAAIBtggDAgAAAACwGmFp9C
0BHgACAbYIAwIAAAAAthphaRsAAgG3CAMCAAAAALcaYWkbAAIBtwgDAgAAAAC3GmFp7C
0CGwACAbcIAwIAAAAAuRphaRsAAgG3CAMCAAAAALoaYWkbAAIBtwgDAgAAAADHGmFp67
0DQgACAbYIAwIAAAAAyRphaUMAAgG2CAMCAAAAAMkaYWlDAAIBtQgDAgAAAADPGmFpCC
0EHAACAbgIAwIAAAAA0BphaR0AAgG4CAMCAAAAANkaYWkeAAIBuAgDAgAAAADaGmFp13
0FHgACAbgIAwIAAAAA4xphaR8AAgG3CAMCAAAAAOQaYWkeAAIBtwgDAgAAAADlGmFpE7
10HgACAbcIAwIAAAAA5hphaR0AAgG3CAMCAAAAAOcaYWkdAAIBtggDAgAAAADoGmFpE2
11HQACAbYIAwIAAAAA6RphaR0AAgG2CAMCAAAAAOoaYWkcAAIBtggDAgAAAADrGmFpDC
